song,artist
"Non, Je Ne Regrette Rien",Edith Piaf
In the Dark,Purple Disco Machine & Sophie and the Giants
NEON BLADE,MoonDeity
Lovely,Billie Eilish & Khalid
Dancin (Krono Remix) [feat. Luvli],Aaron Smith
Murder In My Mind,Kordhell
ABISSALE,Tananai
Belki (Akustik),Dedublüman
Only Love Can Hurt Like This,Paloma Faith
Do It Again (feat. 2Rare),NLE Choppa
CAIRO,KAROL G & Ovy On the Drums
White Rabbit,Eliot Sumner
Baglami,DJ DALI
PUNTO 40,Rauw Alejandro & Baby Rasta
The Perfect Girl,Mareux
Dark Horse (feat. Juicy J),Katy Perry
Bitter Sweet Symphony,The Verve
Love on the Brain,Rihanna
Los Dueños Del Malianteo,El Jordan 23 & Endo
"Paint It, Black",The Rolling Stones
Gatita,Bellakath
Infinity,Jaymes Young
Tomorrow 2,GloRilla & Cardi B
Free Mind,Tems
Mary On A Cross,Ghost
Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
Xtra Cool,Young Jonn
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Circo Loco,Drake & 21 Savage
Starboy,The Weeknd Feat. Daft Punk
